date,log_exists,clear_by_fit,measured_MJ,ref_MJ,anchor_scaling,anchor_used,anchor_resid_log,scaling_daily,source,nrmse,A,n,sunrise,sunset,note
2025-05-10,True,False,4.09491,29.81,,,,1.1728148343819007,annual_fit,0.3182295207349874,137.5917178580614,0.5,08:07,18:40,ok
2025-05-11,True,False,20.04384,29.89,,,,1.1710953530631425,annual_fit,0.12518787356912758,850.9239091464866,1.8600000000000012,05:10,17:49,ok
2025-05-12,True,False,17.24154,29.97,,,,1.1694037426327126,annual_fit,0.13093932067299968,708.8596988404315,1.620000000000001,06:00,18:21,ok
2025-05-13,True,True,26.21439,30.04,1.1459354957334502,True,-0.018849260370040533,1.1677403897289682,annual_fit,0.011920235713812878,903.9555880589369,1.2000000000000006,05:11,18:29,ok
2025-05-14,True,False,22.84896,30.12,,,,1.1661056725162011,annual_fit,0.1212948378394823,862.8358149919727,1.630000000000001,05:14,18:35,ok
2025-05-15,True,False,20.75328,30.18,,,,1.164499960700361,annual_fit,0.14517556739436221,756.3895123263231,1.3700000000000008,05:03,18:18,ok
2025-05-16,True,False,11.14548,30.25,,,,1.1629236155467886,annual_fit,0.24242241962915595,395.65570557607595,1.2800000000000007,05:10,18:07,ok
2025-05-17,True,False,5.61258,30.31,,,,1.1613769898998247,annual_fit,0.3467030397732566,272.12728734470124,0.8700000000000003,09:52,18:13,ok
2025-05-18,True,False,14.02296,30.37,,,,1.1598604282041636,annual_fit,0.24804337946696042,524.7559695583675,1.4400000000000008,05:10,18:05,ok
2025-05-19,True,False,15.93312,30.42,,,,1.1583742665278225,annual_fit,0.1603254233576351,627.3599324367568,1.690000000000001,05:40,18:38,ok
2025-05-20,True,True,24.65982,30.47,1.2356132364307606,True,0.06580710214661092,1.1569188325865947,annual_fit,0.0102489433423608,855.1682231332898,1.2800000000000007,05:03,18:36,ok
2025-05-21,True,False,17.586,30.51,,,,1.155494445769862,annual_fit,0.19178056292638124,695.6273998338283,1.750000000000001,05:11,18:26,ok
2025-05-22,True,False,19.67292,30.55,,,,1.1541014171676398,annual_fit,0.19158139313874134,728.8602216584006,1.4900000000000009,05:23,18:38,ok
2025-05-23,True,False,20.36286,30.59,,,,1.15274004959873,annual_fit,0.12525381354579274,755.1160850601918,1.590000000000001,05:04,18:30,ok
2025-05-24,True,False,5.47968,30.62,,,,1.151410637639862,annual_fit,0.15165504300710647,193.9060780389001,1.0400000000000005,05:30,17:37,ok
2025-05-25,True,False,14.09934,30.65,,,,1.1501134676556977,annual_fit,0.40794117456014534,452.108425500086,0.8400000000000003,05:38,18:37,ok
2025-05-26,True,False,12.96282,30.67,,,,1.1488488178295893,annual_fit,0.1072671071960503,523.6263752461664,1.8900000000000012,05:13,18:12,ok
2025-05-27,True,False,9.8937,30.69,,,,1.147616958194966,annual_fit,0.23800088673552075,351.79454301532473,1.1700000000000006,05:00,17:46,ok
2025-05-28,True,True,25.47342,30.71,1.205570355295834,True,0.05031034869835985,1.1464181506672442,annual_fit,0.03860481393559413,924.25813676387,1.4500000000000008,05:01,18:31,ok
2025-05-29,True,False,11.70054,30.72,,,,1.1452526490761434,annual_fit,0.19217449527656658,409.4837422282226,1.1000000000000005,05:17,18:09,ok
2025-05-30,True,False,17.59008,30.73,,,,1.1441206991983024,annual_fit,0.16328770248416552,808.1747011686733,1.7800000000000011,06:22,17:45,ok
2025-05-31,True,False,13.80378,30.73,,,,1.1430225387900903,annual_fit,0.37080430905727585,373.260758226927,0.5,04:58,18:34,ok
2025-06-01,True,False,23.84064,30.73,,,,1.141958397620507,annual_fit,0.12613148745125632,805.8018268280829,1.2800000000000007,04:55,18:46,ok
2025-06-02,True,False,19.51392,30.72,,,,1.1409284975040712,annual_fit,0.16354001750219474,772.1414754336824,1.8400000000000012,05:04,18:12,ok
2025-06-03,True,False,1.87911,30.71,,,,1.1399330523336006,annual_fit,0.23303214659093427,102.00930675063525,0.5,11:47,18:22,ok
